question,label,grade,subject
What is the capital of Sri Lanka?,1,Grade 10,Geography
Solve the quadratic equation 2x² + 5x + 2 = 0,1,Grade 10,Mathematics
What is photosynthesis?,1,Grade 10,Science
Explain the water cycle in detail,1,Grade 10,Science
What are the causes of the French Revolution?,1,Grade 10,History
How does the human circulatory system work?,1,Grade 10,Science
Simplify the expression (a + b)²,1,Grade 10,Mathematics
What is the pH scale used for?,1,Grade 10,Science
When did the British arrive in Sri Lanka?,1,Grade 10,History
What is the process of osmosis?,1,Grade 10,Science
Calculate the area of a triangle with base 10 and height 8,1,Grade 10,Mathematics
Name the continents of the world,1,Grade 6,Geography
What are the planets in our solar system?,1,Grade 6,Science
How do you write a proper sentence?,1,Grade 6,English
What is a noun?,1,Grade 6,English
Explain the water cycle,1,Grade 6,Science
How many times has Earth orbited the Sun?,0,Grade 10,Science
Who is the current President of France?,0,Grade 10,Geography
What is the cure for COVID-19?,0,Grade 10,Science
How do I become a professional basketball player?,0,Grade 10,Health
What is quantum mechanics?,0,Grade 10,Physics
Can you code in Python?,0,Grade 10,Computer Science
What is artificial intelligence?,0,Grade 10,Information Technology
How do I invest in cryptocurrency?,0,Grade 10,Economics
What is the theory of relativity?,0,Grade 10,Physics
How many hours should I sleep?,0,Grade 6,Health
